,lyrics
Then dare to sing unconquer'd Caesar's deeds;
Who cheers such actions with abundant meeds.

Hor.
That, father, I desire; but, when I try,
I feel defects in every faculty:
Nor is't a labour fit for every pen,
To paint the horrid troops of armed men,
The lances burst, in Gallia's slaughter'd forces;
Or wounded Parthians, tumbled from their horses:
Great Caesar's wars cannot be fought with words.

Treb.
Yet, what his virtue in his peace affords,
His fortitude and justice thou canst shew
As wise Lucilius honour'd Scipio.

Hor.
Of that, my powers shall suffer no neglect,
When such slight labours may aspire respect:
But, if I watch not a most chosen time,
The humble words of Flaccus cannot climb
Th' attentive ear of Caesar; nor must I
With less observance shun gross flattery:
For he, reposed safe in his own merit,
Spurns back the gloses of a fawning spirit.

Treb.
But how much better would such accents sound
Than with a sad and serious verse to wound
Pantolabus, railing in his saucy jests,
Or Nomentanus spent in riotous feasts?
In satires, each man, though untouch'd, complains
As he were hurt; and hates such biting strains.

Hor.
What shall I do? Milonius shakes his heels
In ceaseless dances, when his brain once feels
The stirring fervour of the wine ascend;
And that his eyes false numbers apprehend.
Castor his horse, Pollux loves handy-fights;
A thousand heads, a thousand choice delights.
My pleasure is in feet my words to close,
As, both our better, old Lucilius does:
He, as his trusty friends, his books did trust
With all his secrets; nor, in things unjust,
Or actions lawful, ran to other men:
So that the old man's life described, was seen
As in a votive table in his lines:
And to his steps my genius inclines;
Lucanian, or Apulian, I know not whether,
For the Venusian colony ploughs either;
Sent thither, when the Sabines were forced thence,
As old Fame sings, to give the place defence
'Gainst such as, seeing it empty, might make road
Upon the empire; or there fix abode:
Whether the Apulian borderer it were,
Or the Lucanian violence they fear.—-
But this my style no living man shall touch,
If first I be not forced by base reproach;
But like a sheathed sword it shall defend
My innocent life; for why should I contend
To draw it out, when no malicious thief
Robs my good name, the treasure of my life?
O Jupiter, let it with rust be eaten,
Before it touch, or insolently threaten
The life of any with the least disease;
So much I love, and woo a general peace.
But, he that wrongs me, better, I proclaim,
He never had assay'd to touch my fame.
For he shall weep, and walk with every tongue
Throughout the city, infamously sung.
Servius the praetor threats the laws, and urn,
If any at his deeds repine or spurn;
The witch Canidia, that Albutius got,
Denounceth witchcraft, where she loveth not;
Thurius the judge, doth thunder worlds of ill,
To such as strive with his judicial will.
All men affright their foes in what they may,
Nature commands it, and men must obey.
Observe with me: The wolf his tooth doth use,
The bull his horn; and who doth this infuse,
But nature? There's luxurious Scaeva; trust
His long-lived mother with him; his so just
And scrupulous right-hand no mischief will;
No more than with his heel a wolf will kill,
Or ox with jaw: marry, let him alone
With temper'd poison to remove the croan.
But briefly, if to age I destined be,
Or that quick death's black wings environ me;
If rich, or poor; at Rome; or fate command
I shall be banished to some other land;
What hue soever my whole state shall bear,
I will write satires still, in spite of fear.

Treb.
Horace, I fear thou draw'st no lasting breath;
And that some great man's friend will be thy death.

Hor.
What! when the man that first did satirise
Durst pull the skin over the ears of vice,
And make who stood in outward fashion clear,
Give place, as foul within; shall I forbear?
Did Laelius, or the man so great with fame,
That from sack'd Carthage fetch'd his worthy name,
Storm that Lucilius did Metellus pierce,
Or bury Lupus quick in famous verse?
Rulers and subjects, by whole tribes he checkt,
But virtue and her friends did still protect:
And when from sight, or from the judgment-seat,
The virtuous Scipio and wise Laelius met,
Unbraced, with him in all light sports they shared,
Till their most frugal suppers were prepared.
Whate'er I am, though both for wealth and wit
Beneath Lucilius I am pleased to sit;
Yet Envy, spite of her empoison'd breast,
Shall say, I lived in grace here with the best;
And seeking in weak trash to make her wound,
Shall find me solid, and her teeth unsound:
'Less learn'd Trebatius' censure disagree.

Treb.
No, Horace, I of force must yield to thee;
Only take heed, as being advised by me,
Lest thou incur some danger: better pause,
Than rue thy ignorance of the sacred laws;
There's justice, and great action may be sued
'Gainst such as wrong men's fames with verses lewd.

Hor.
Ay, with lewd verses, such as libels be,
And aim'd at persons of good quality:
I reverence and adore that just decree.
But if they shall be sharp, yet modest rhymes,
That spare men's persons, and but tax their crimes,
Such shall in open court find current pass,
Were Caesar judge, and with the maker's grace.

Treb.
Nay, I'll add more; if thou thyself, being clear,
Shall tax in person a man fit to bear
Shame and reproach, his suit shall quickly be
Dissolved in laughter, and thou thence set free.

                                                TO THE READER

If, by looking on what is past, thou hast deserved that name, I am
willing thou should'st yet know more, by that which follows, an
APOLOGETICAL DIALOGUE; which was only once spoken upon the stage and all the answer I ever gave to sundry impotent libels then cast out (and some yet remaining) against me, and this play. Wherein I take no pleasure to revive the times; but that posterity may make a difference between their manners that provoked me then, and mine that neglected them ever, For, in these strifes, and on such persons, were as wretched to affect a victory, as it is unhappy to be committed with them.

            Non annorum canities est laudanda, sed morum.
                                 SCENE, The Author's Lodgings.
                              Enter NASUTUS and POLYPOSUS.
Nas.
I pray You let' s go see him, how he looks
After these libels.

Pol.
O vex'd, vex'd, I warrant you.

Nas. Do you think so? I should be sorry for him,
If I found that.

Pol.
O, they are such bitter things,
He cannot choose.

Nas.
But, is he guilty of them?

Pol.
Fuh! that's no matter.

Nas.
No!

Pol.
No. Here's his lodging.
We'll steal upon him: or let's listen; stay.
He has a humour oft to talk t' himself.

Nas.
They are your manners lead me, not mine own.

[They come forward; the scene opens, and discovers the
Author in his study.
Aut.
The fates have not spun him the coarsest thread,
That (free from knots of perturbation)
Doth yet so live, although but to himself,
As he can safely scorn the tongues of slaves,
And neglect fortune, more than she can him.
It is the happiest thing this, not to be
Within the reach of malice; it provides
A man so well, to laugh off injuries;
And never sends him farther for his vengeance,
Than the vex'd bosom of his enemy.
I, now, but think how poor their spite sets off,
Who, after all their waste of sulphurous terms,
And burst-out thunder of their charged mouths,
Have nothing left but the unsavoury smoke
Of their black vomit, to upbraid themselves:
Whilst I, at whom they shot, sit here shot-free,
And as unhurt of envy, as unhit.

[Pol. and Nas. discover themselves.
Pol.
Ay, but the multitude they think not so, sir,
They think you hit, and hurt: and dare give out,
Your silence argues it in not rejoining
To this or that late libel.

Aut.
'Las, good rout!
I can afford them leave to err so still;
And like the barking students of Bears-college,
To swallow up the garbage of the time
With greedy gullets, whilst myself sit by,
Pleased, and yet tortured, with their beastly feeding.
'Tis a sweet madness runs along with them,
To think, all that are aim'd at still are struck:
Then, where the shaft still lights, make that the mark:
And so each fear or fever-shaken fool
May challenge Teucer's hand in archery.
Good troth, if I knew any man so vile,
To act the crimes these Whippers reprehend,
Or what their servile apes gesticulate,
I should not then much muse their shreds were liked;
Since ill men have a lust t' hear others' sins,
All good men have a zeal to hear sin shamed.
But when it is all excrement they vent,
Base filth and offal; or thefts, notable
As ocean-piracies, or highway-stands;
And not a crime there tax'd, but is their own,
Or what their own foul thoughts suggested to them;
And that, in all their heat of taxing others,
Not one of them but lives himself, if known,
Improbior satiram scribente cinaedo
What should I say more, than turn stone with wonder!

Nas.
I never saw this play bred all this tumult:
What was there in it could so deeply offend
And stir so many hornets?

Aut.
Shall I tell you?

Nas.
Yea, and ingeniously.

Aut.
Then, by the hope
Which I prefer unto all other objects,
I can profess, I never writ that piece
More innocent or empty of offence.
Some salt it had, but neither tooth nor gall,
Nor was there in it any circumstance
Which. in the setting down, I could suspect
Might be perverted by an enemy's tongue;
Only it had the fault to be call'd mine;
That was the crime.

Pol.
No! why, they say you tax'd
The law and lawyers, captains and the players,
By their particular names.

Aut.
It is not so.
I used no name. My books have still been taught
To spare the persons, and to speak the vices.
These are mere slanders, and enforced by such
As have no safer ways to men's disgraces.
But their own lies and loss of honesty:
Fellows of practised and most laxative tongues,
Whose empty and eager bellies, in the year,
Compel their brains to many desperate shifts,
(I spare to name them, for their wretchedness
Fury itself would pardon). These, or such,
Whether of malice, or of ignorance,
Or itch t' have me their adversary, I know not,
Or all these mixt; but sure I am, three years
They did provoke me with their petulant styles
On every stage: and I at last unwilling,
But weary, I confess, of so much trouble,
Thought I would try if shame could win upon 'em,'
And therefore chose Augustus Caesar's times,
When wit and area were at their height in Rome,
To shew that Virgil, Horace, and the rest
Of those great master-spirits, did not want
Detractors then, or practicers against them:
And by this line, although no parallel,
I hoped at last they would sit down and blush;
But nothing I could find more contrary.
And though the impudence of flies be great,
Yet this hath so provok'd the angry wasps,
Or, as you said, of the next nest, the hornets,
That they fly buzzing, mad, about my nostrils,
And, like so many screaming grasshoppers
Held by the wings, fill every ear with noise.
And what? those former calumnies you mention'd.
First, of the law: indeed I brought in Ovid
Chid by his angry father for neglecting
The study of their laws for poetry:
And I am warranted by his own words:

Saepe pater dixit, studium quid inutile tentas!
Maeonides nullas ipse reliquit opes.

And in far harsher terms elsewhere, as these:

Non me verbosas leges ediscere, non me
Ingrato voces prostituisse foro.

But how this should relate unto our laws,
Or the just ministers, with least abuse,
I reverence both too much to understand!
Then, for the captain, I will only speak
An epigram I here have made: it is

UNTO TRUE SOLDIERS.
That's the lemma: mark it.
Strength of my country, whilst I bring to view
Such: as are miss-call'd captains, and wrong you,
And your high names; I do desire, that thence,
Be nor put on you, nor you take offence:
I swear by your true friend, my muse, I love
Your great profession which I once did prove;
And did not shame it with my actions then,
No more than I dare now do with my pen.
He that not trusts me, having vowed thus much,
But's angry for the captain, still: is such.
Now for the players, it is true, I tax'd them,
And yet but some; and those so sparingly,
As all the rest might have sat still unquestion'd,
Had they but had the wit or conscience
To think well of themselves. But impotent, they
Thought each man's vice belong'd to their whole tribe;
And much good do't them! What they have done 'gainst me,
I am not moved with: if it gave them meat,
Or got them clothes, 'tis well; that was their end.
Only amongst them, I am sorry for
Some better natures, by the rest so drawn,
To run in that vile line.

Pol.
And is this all!
Will you not answer then the libels?

Aut.
No.

Pol.
Nor the Untrussers?

Aut.
Neither.

Pol.
Y'are undone then.

Aut.
With whom?

Pol.
The world.

Aut.
The bawd!

Pol.
It will be taken
To be stupidity or tameness in you.

Aut.
But they that have incensed me, can in soul
Acquit me of that guilt. They know I dare
To spurn or baffle them, or squirt their eyes
With ink or urine; or I could do worse,
Arm'd with Archilochus' fury, write Iambics,
Should make the desperate lashers hang themselves;
Rhime them to death, as they do Irish rats
In drumming tunes. Or, living, I could stamp
Their foreheads with those deep and public brands,
That the whole company of barber-surgeon a
Should not take off with all their art and plasters.
And these my prints should last, still to be read
In their pale fronts; when, what they write 'gainst me
Shall, like a figure drawn in water, fleet,
And the poor wretched papers be employed
To clothe tobacco, or some cheaper drug:
This I could do, and make them infamous.
But, to what end? when their own deeds have mark'd 'em;
And that I know, within his guilty breast
Each slanderer bears a whip that shall torment him
Worse than a million of these temporal plagues:
Which to pursue, were but a feminine humour,
And far beneath the dignity of man.

Nas.
'Tis true; for to revenge their injuries,
Were to confess you felt them. Let them go,
And use the treasure of the fool, their tongues,
Who makes his gain, by speaking worst of beat.

Pol.
O, but they lay particular imputations—

Aut.
As what?

Pol.
That all your writing is mere railing.

Aut.
Ha?
If all the salt in the old comedy
Should be so censured, or the sharper wit
Of the bold satire termed scolding rage,
What age could then compare with those for buffoons?
What should be said of Aristophanes,
Persius, or Juvenal, whose names we now
So glorify in schools, at least pretend it?—-
Have they no other?

Pol.
Yes; they say you are slow,
And scarce bring forth a play a year.

Aut.
'Tis true.
I would they could not say that I did that!
There' s all the joy that I take in their trade,
Unless such scribes as these might be proscribed
Th' abused theatres. They would think it strange, now,
A man should take but colts-foot for one day,
And, between whiles, spit out a better poem
Than e'er the master of art, or giver of wit,
Their belly, made. Yet, this is possible,
If a free mind had but the patience,
To think so much together and so vile.
But that these base and beggarly conceits
Should carry it, by the multitude of voices,
Against the most abstracted work, opposed
To the stuff'd nostrils of the drunken rout!
O, this would make a learn'd and liberal soul
To rive his stained quill up to the back,
And damn his long-watch'd labours to the fire,
Things that were born when none but the still night
And his dumb candle, saw his pinching throes,
Were not his own free merit a more crown
Unto his travails than their reeling claps.
This 'tis that strikes me silent, seals my lips,
And apts me rather to sleep out my time,
Than I would waste it in contemned strifes
With these vile Ibides, these unclean birds,
That make their mouths their clysters, and still purge
From their hot entrails. But I leave the monsters
To their own fate. And, since the Comic Muse
Hath proved so ominous to me, I will try
If TRAGEDY have a more kind aspect;
Her favours in my next I will pursue,
Where, if I prove the pleasure but of one,
So he judicious be, he shall be alone
A theatre unto me; Once I'll say
To strike the ear of time in those fresh strains,
As shall, beside the cunning of their ground,
Give cause to some of wonder, some despite,
And more despair, to imitate their sound.
I, that spend half my nights, and all my days,
Here in a cell, to get a dark paleface,
To come forth worth the ivy or the bays,
And in this age can hope no other grace—-
Leave me! There's something come into my thought,
That must and shall be sung high and aloof,
Safe from the wolfs black jaw, and the dun ass's hoof

Nas.
I reverence these raptures, and obey them.


[The scene closes—-


                                                    GLOSSARY

ABATE, cast down, subdue.

ABHORRING, repugnant (to), at variance.

ABJECT, base, degraded thing, outcast.

ABRASE, smooth, blank.

ABSOLUTE(LY), faultless(ly).

ABSTRACTED, abstract, abstruse.

ABUSE, deceive, insult, dishonour, make ill use of.

ACATER, caterer.

ACATES, cates.

ACCEPTIVE, willing, ready to accept, receive.

ACCOMMODATE, fit, befitting.  (The word was a fashionable
one and used on all occasions.  See ""Henry IV.,"" pt. 2,
iii. 4).

ACCOST, draw near, approach.

ACKNOWN, confessedly acquainted with.

ACME, full maturity.

ADALANTADO, lord deputy or governor of a Spanish province.

ADJECTION, addition.

ADMIRATION, astonishment.

ADMIRE, wonder, wonder at.

ADROP, philosopher's stone, or substance from which obtained.

ADSCRIVE, subscribe.

ADULTERATE, spurious, counterfeit.

ADVANCE, lift.

ADVERTISE, inform, give intelligence.

ADVERTISED, ""be—,"" be it known to you.

ADVERTISEMENT, intelligence.

ADVISE, consider, bethink oneself, deliberate.

ADVISED, informed, aware; ""are you—?"" have you found that out?

AFFECT, love, like; aim at; move.

AFFECTED, disposed; beloved.

AFFECTIONATE, obstinate; prejudiced.

AFFECTS, affections.

AFFRONT, ""give the—,"" face.

AFFY, have confidence in; betroth.

AFTER, after the manner of.

AGAIN, AGAINST, in anticipation of.

AGGRAVATE, increase, magnify, enlarge upon.

AGNOMINATION.  See Paranomasie.

AIERY, nest, brood.

AIM, guess.

ALL HID, children's cry at hide-and-seek.

ALL-TO, completely, entirely (""all-to-be-laden"").

ALLOWANCE, approbation, recognition.

ALMA-CANTARAS (astronomy), parallels of altitude.

ALMAIN, name of a dance.

ALMUTEN, planet of chief influence in the horoscope.

ALONE, unequalled, without peer.

ALUDELS, subliming pots.

AMAZED, confused, perplexed.

AMBER, AMBRE, ambergris.

AMBREE, MARY, a woman noted for her valour at the
siege of Ghent, 1458.

AMES-ACE, lowest throw at dice.

AMPHIBOLIES, ambiguities.

AMUSED, bewildered, amazed.

AN, if.

ANATOMY, skeleton, or dissected body.

ANDIRONS, fire-dogs.

ANGEL, gold coin worth 10 shillings, stamped with the
figure of the archangel Michael.

ANNESH CLEARE, spring known as Agnes le Clare.

ANSWER, return hit in fencing.

ANTIC, ANTIQUE, clown, buffoon.

ANTIC, like a buffoon.

ANTIPERISTASIS, an opposition which enhances the quality
it opposes.

APOZEM, decoction.

APPERIL, peril.

APPLE-JOHN, APPLE-SQUIRE, pimp, pander.

APPLY, attach.

APPREHEND, take into custody.

APPREHENSIVE, quick of perception; able to perceive and appreciate.

APPROVE, prove, confirm.

APT, suit, adapt; train, prepare; dispose, incline.

APT(LY), suitable(y), opportune(ly).

APTITUDE, suitableness.

ARBOR, ""make the—,"" cut up the game (Gifford).

ARCHES, Court of Arches.

ARCHIE, Archibald Armstrong, jester to James I. and Charles I.

ARGAILE, argol, crust or sediment in wine casks.

ARGENT-VIVE, quicksilver.

ARGUMENT, plot of a drama; theme, subject; matter in question;
token, proof.

ARRIDE, please.

ARSEDINE, mixture of copper and zinc, used as an imitation of
gold-leaf.

ARTHUR, PRINCE, reference to an archery show by a society who
assumed arms, etc., of Arthur's knights.

ARTICLE, item.

ARTIFICIALLY, artfully.

ASCENSION, evaporation, distillation.

ASPIRE, try to reach, obtain, long for.

ASSALTO (Italian), assault.

ASSAY, draw a knife along the belly of the deer, a
ceremony of the hunting-field.

ASSOIL, solve.

ASSURE, secure possession or reversion of.

ATHANOR, a digesting furnace, calculated to keep up a
constant heat.

ATONE, reconcile.

ATTACH, attack, seize.

AUDACIOUS, having spirit and confidence.

AUTHENTIC(AL), of authority, authorised, trustworthy, genuine.

AVISEMENT, reflection, consideration.

AVOID, begone! get rid of.

AWAY WITH, endure.

AZOCH, Mercurius Philosophorum.

BABION, baboon.

BABY, doll.

BACK-SIDE, back premises.

BAFFLE, treat with contempt.

BAGATINE, Italian coin, worth about the third of a farthing.

BAIARD, horse of magic powers known to old romance.

BALDRICK, belt worn across the breast to support bugle, etc.

BALE (of dice), pair.

BALK, overlook, pass by, avoid.

BALLACE, ballast.

BALLOO, game at ball.

BALNEUM (BAIN MARIE), a vessel for holding hot water
in which other vessels are stood for heating.

BANBURY, ""brother of—,"" Puritan.

BANDOG, dog tied or chained up.

BANE, woe, ruin.

BANQUET, a light repast; dessert.

BARB, to clip gold.

BARBEL, fresh-water fish.

BARE, meer; bareheaded; it was ""a particular mark of state
and grandeur for the coachman to be uncovered"" (Gifford).

BARLEY-BREAK, game somewhat similar to base.

BASE, game of prisoner's base.

BASES, richly embroidered skirt reaching to the knees, or
lower.

BASILISK, fabulous reptile, believed to slay with its eye.

BASKET, used for the broken provision collected for prisoners.

BASON, basons, etc., were beaten by the attendant mob when
bad characters were ""carted.""

BATE, be reduced; abate, reduce.

BATOON, baton, stick.

BATTEN, feed, grow fat.

BAWSON, badger.

BEADSMAN, prayer-man, one engaged to pray for another.

BEAGLE, small hound; fig. spy.

BEAR IN HAND, keep in suspense, deceive with false hopes.

BEARWARD, bear leader.

BEDPHERE.  See Phere.

BEDSTAFF, (?) wooden pin in the side of the bedstead for
supporting the bedclothes (Johnson); one of the sticks or
""laths""; a stick used in making a bed.

BEETLE, heavy mallet.

BEG, ""I'd—him,"" the custody of minors and idiots was
begged for; likewise property fallen forfeit to the Crown
(""your house had been begged"").

BELL-MAN, night watchman.

BENJAMIN, an aromatic gum.

BERLINA, pillory.

BESCUMBER, defile.

BESLAVE, beslabber.

BESOGNO, beggar.

BESPAWLE, bespatter.

BETHLEHEM GABOR, Transylvanian hero, proclaimed King of Hungary.

BEVER, drinking.

BEVIS, SIR, knight of romance whose horse was equally celebrated.

BEWRAY, reveal, make known.

BEZANT, heraldic term: small gold circle.

BEZOAR'S STONE, a remedy known by this name was a
supposed antidote to poison.

BID-STAND, highwayman.

BIGGIN, cap, similar to that worn by the Beguines; nightcap.

BILIVE (belive), with haste.

BILK, nothing, empty talk.

BILL, kind of pike.

BILLET, wood cut for fuel, stick.

BIRDING, thieving.

BLACK SANCTUS, burlesque hymn, any unholy riot.

BLANK, originally a small French coin.

BLANK, white.

BLANKET, toss in a blanket.

BLAZE, outburst of violence.

BLAZE, (her.) blazon; publish abroad.

BLAZON, armorial bearings; fig. all that pertains to
good birth and breeding.

BLIN, ""withouten—,"" without ceasing.

BLOW, puff up.

BLUE, colour of servants' livery, hence ""—order,""
""—waiters.""

BLUSHET, blushing one.

BOB, jest, taunt.

BOB, beat, thump.

BODGE, measure.

BODKIN, dagger, or other short, pointed weapon; long
pin with which the women fastened up their hair.

BOLT, roll (of material).

BOLT, dislodge, rout out; sift (boulting-tub).

BOLT'S-HEAD, long, straight-necked vessel for distillation.

BOMBARD SLOPS, padded, puffed-out breeches.

BONA ROBA, ""good, wholesome, plum-cheeked wench"" (Johnson)
—not always used in compliment.

BONNY-CLABBER, sour butter-milk.

BOOKHOLDER, prompter.

BOOT, ""to—,"" into the bargain; ""no—,"" of no avail.

BORACHIO, bottle made of skin.

BORDELLO, brothel.

BORNE IT, conducted, carried it through.

BOTTLE (of hay), bundle, truss.

BOTTOM, skein or ball of thread; vessel.

BOURD, jest.

BOVOLI, snails or cockles dressed in the Italian manner
(Gifford).

BOW-POT, flower vase or pot.

BOYS, ""terrible—,"" ""angry—,"" roystering young bucks.
(See Nares).

BRABBLES (BRABBLESH), brawls.

BRACH, bitch.

BRADAMANTE, a heroine in ""Orlando Furioso.""

BRADLEY, ARTHUR OF, a lively character commemorated in
ballads.

BRAKE, frame for confining a horse's feet while being
shod, or strong curb or bridle; trap.

BRANCHED, with ""detached sleeve ornaments, projecting
from the shoulders of the gown"" (Gifford).

BRANDISH, flourish of weapon.

BRASH, brace.

BRAVE, bravado, braggart speech.

BRAVE (adv.), gaily, finely (apparelled).

BRAVERIES, gallants.

BRAVERY, extravagant gaiety of apparel.

BRAVO, bravado, swaggerer.

BRAZEN-HEAD, speaking head made by Roger Bacon.

BREATHE, pause for relaxation; exercise.

BREATH UPON, speak dispraisingly of.

BREND, burn.

BRIDE-ALE, wedding feast.

BRIEF, abstract; (mus.) breve.

BRISK, smartly dressed.

BRIZE, breese, gadfly.

BROAD-SEAL, state seal.

BROCK, badger (term of contempt).

BROKE, transact business as a broker.

BROOK, endure, put up with.

BROUGHTON, HUGH, an English divine and Hebrew scholar.

BRUIT, rumour.

BUCK, wash.

BUCKLE, bend.

BUFF, leather made of buffalo skin, used for military
and serjeants' coats, etc.

BUFO, black tincture.

BUGLE, long-shaped bead.

BULLED, (?) bolled, swelled.

BULLIONS, trunk hose.

BULLY, term of familiar endearment.

BUNGY, Friar Bungay, who had a familiar in the shape of a dog.

BURDEN, refrain, chorus.

BURGONET, closely-fitting helmet with visor.

BURGULLION, braggadocio.

BURN, mark wooden measures (""—ing of cans"").

BURROUGH, pledge, security.

BUSKIN, half-boot, foot gear reaching high up the leg.

BUTT-SHAFT, barbless arrow for shooting at butts.

BUTTER, NATHANIEL (""Staple of News""), a compiler of general
news.  (See Cunningham).

BUTTERY-HATCH, half-door shutting off the buttery, where
provisions and liquors were stored.

BUY, ""he bought me,"" formerly the guardianship of wards
could be bought.

BUZ, exclamation to enjoin silence.

BUZZARD, simpleton.

BY AND BY, at once.

BY(E), ""on the __,"" incidentally, as of minor or secondary
importance; at the side.

BY-CHOP, by-blow, bastard.

CADUCEUS, Mercury's wand.

CALIVER, light kind of musket.

CALLET, woman of ill repute.

CALLOT, coif worn on the wigs of our judges or
serjeants-at-law (Gifford).

CALVERED, crimped, or sliced and pickled.  (See Nares).

CAMOUCCIO, wretch, knave.

CAMUSED, flat.

CAN, knows.

CANDLE-RENT, rent from house property.

CANDLE-WASTER, one who studies late.

CANTER, sturdy beggar.

CAP OF MAINTENCE, an insignia of dignity, a cap of state
borne before kings at their coronation; also an heraldic term.

CAPABLE, able to comprehend, fit to receive instruction,
impression.

CAPANEUS, one of the ""Seven against Thebes.""

CARACT, carat, unit of weight for precious stones, etc.;
value, worth.

CARANZA, Spanish author of a book on duelling.

CARCANET, jewelled ornament for the neck.

CARE, take care; object.

CAROSH, coach, carriage.

CARPET, table-cover.

CARRIAGE, bearing, behaviour.

CARWHITCHET, quip, pun.

CASAMATE, casemate, fortress.

CASE, a pair.

CASE, ""in—,"" in condition.

CASSOCK, soldier's loose overcoat.

CAST, flight of hawks, couple.

CAST, throw dice; vomit; forecast, calculate.

CAST, cashiered.

CASTING-GLASS, bottle for sprinkling perfume.

CASTRIL, kestrel, falcon.

CAT, structure used in sieges.

CATAMITE, old form of ""ganymede.""

CATASTROPHE, conclusion.

CATCHPOLE, sheriff's officer.

CATES, dainties, provisions.

CATSO, rogue, cheat.

CAUTELOUS, crafty, artful.

CENSURE, criticism; sentence.

CENSURE, criticise; pass sentence, doom.

CERUSE, cosmetic containing white lead.

CESS, assess.

CHANGE, ""hunt—,"" follow a fresh scent.

CHAPMAN, retail dealer.

CHARACTER, handwriting.

CHARGE, expense.

CHARM, subdue with magic, lay a spell on, silence.

CHARMING, exercising magic power.

CHARTEL, challenge.

CHEAP, bargain, market.

CHEAR, CHEER, comfort, encouragement; food, entertainment.

CHECK AT, aim reproof at.

CHEQUIN, gold Italian coin.

CHEVRIL, from kidskin, which is elastic and pliable.

CHIAUS, Turkish envoy; used for a cheat, swindler.

CHILDERMASS DAY, Innocents' Day.

CHOKE-BAIL, action which does not allow of bail.

CHRYSOPOEIA, alchemy.

CHRYSOSPERM, ways of producing gold.

CIBATION, adding fresh substances to supply the waste
of evaporation.

CIMICI, bugs.

CINOPER, cinnabar.

CIOPPINI, chopine, lady's high shoe.

CIRCLING BOY, ""a species of roarer; one who in some way
drew a man into a snare, to cheat or rob him"" (Nares).

CIRCUMSTANCE, circumlocution, beating about the bush;
ceremony, everything pertaining to a certain condition;
detail, particular.

CITRONISE, turn citron colour.

CITTERN, kind of guitar.

CITY-WIRES, woman of fashion, who made use of wires
for hair and dress.

CIVIL, legal.

CLAP, clack, chatter.

CLAPPER-DUDGEON, downright beggar.

CLAPS HIS DISH, a clap, or clack, dish (dish with a
movable lid) was carried by beggars and lepers to show
that the vessel was empty, and to give sound of their
approach.

CLARIDIANA, heroine of an old romance.

CLARISSIMO, Venetian noble.

CLEM, starve.

CLICKET, latch.

CLIM O' THE CLOUGHS, etc., wordy heroes of romance.

CLIMATE, country.

CLOSE, secret, private; secretive.

CLOSENESS, secrecy.

CLOTH, arras, hangings.

CLOUT, mark shot at, bull's eye.

CLOWN, countryman, clodhopper.

COACH-LEAVES, folding blinds.

COALS, ""bear no—,"" submit to no affront.

COAT-ARMOUR, coat of arms.

COAT-CARD, court-card.

COB-HERRING, HERRING-COB, a young herring.

COB-SWAN, male swan.

COCK-A-HOOP, denoting unstinted jollity; thought to
be derived from turning on the tap that all might
drink to the full of the flowing liquor.

COCKATRICE, reptile supposed to be produced from a
cock's egg and to kill by its eye—used as a term
of reproach for a woman.

COCK-BRAINED, giddy, wild.

COCKER, pamper.

COCKSCOMB, fool's cap.

COCKSTONE, stone said to be found in a cock's
gizzard, and to possess particular virtues.

CODLING, softening by boiling.

COFFIN, raised crust of a pie.

COG, cheat, wheedle.

COIL, turmoil, confusion, ado.

COKELY, master of a puppet-show (Whalley).

COKES, fool, gull.

COLD-CONCEITED, having cold opinion of, coldly
affected towards.

COLE-HARBOUR, a retreat for people of all sorts.

COLLECTION, composure; deduction.

COLLOP, small slice, piece of flesh.

COLLY, blacken.

COLOUR, pretext.

COLOURS, ""fear no—,"" no enemy (quibble).

COLSTAFF, cowlstaff, pole for carrying a cowl=tub.

COME ABOUT, charge, turn round.

COMFORTABLE BREAD, spiced gingerbread.

COMING, forward, ready to respond, complaisant.

COMMENT, commentary; ""sometime it is taken for a lie
or fayned tale"" (Bullokar, 1616).

COMMODITY, ""current for—,"" allusion to practice of
money-lenders, who forced the borrower to take part of
the loan in the shape of worthless goods on which the
latter had to make money if he could.

COMMUNICATE, share.

COMPASS, ""in—,"" within the range, sphere.

COMPLEMENT, completion, completement; anything
required for the perfecting or carrying out of
a person or affair; accomplishment.

COMPLEXION, natural disposition, constitution.

COMPLIMENT, See Complement.

COMPLIMENTARIES, masters of accomplishments.

COMPOSITION, constitution; agreement, contract.

COMPOSURE, composition.

COMPTER, COUNTER, debtors' prison.

CONCEALMENT, a certain amount of church property
had been retained at the dissolution of the monasteries;
Elizabeth sent commissioners to search it out, and the
courtiers begged for it.

CONCEIT, idea, fancy, witty invention, conception, opinion.

